Infringement_Number,Trading_Name,Issuing_Authority,Date_Issued,Nature_of_Offence_Full,Offence_Code,Offence_Description,Offence_Date,Year,Month,Published_Address,Postcode,Amount_Payable,Offence_LGA
3219230035,COM SU SU,Fairfield City Council,13/07/2022,Fail to maintain the food premises to the required standard of cleanliness,11339,Fail to comply with Food Standards Code - Corporation,2/06/2022,2022,6,"SHOP 8, 97 JOHN STREET  CABRAMATTA 2166",2166,880,Fairfield
3145246381,MUMBAI EXPRESS,City of Parramatta Council,4/10/2022,Fail to ensure that at least one food safety supervisor has been appointed for the premises - previous warnings given,23085,Not appoint food safety supervisor for premises - Corporation,24/08/2022,2022,8,"SHOP 5060, 159-175 CHURCH STREET  PARRAMATTA 2150",2150,660,City of Parramatta
3145246390,MUMBAI EXPRESS,City of Parramatta Council,4/10/2022,Fail to continue to have food safety supervisor for the premises,23086,Not continue to have food safety supervisor for premises - Corporation,24/08/2022,2022,8,"SHOP 5060, 159-175 CHURCH STREET  PARRAMATTA 2150",2150,660,City of Parramatta
3145246400,MUMBAI EXPRESS,City of Parramatta Council,4/10/2022,Fail to ensure food contact surfaces of equipment is in a clean and sanitary condition - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,24/08/2022,2022,8,"SHOP 5060, 159-175 CHURCH STREET  PARRAMATTA 2150",2150,880,City of Parramatta
3145246419,MUMBAI EXPRESS,City of Parramatta Council,4/10/2022,Fail to ensure that at least one food safety supervisor has been appointed for the premises - previous warnings given,23085,Not appoint food safety supervisor for premises - Corporation,24/08/2022,2022,8,"SHOP 5060, 159-175 CHURCH STREET  PARRAMATTA 2150",2150,660,City of Parramatta
3145246428,MUMBAI EXPRESS,City of Parramatta Council,4/10/2022,Fail to continue to have at least one food safety supervisor appointed for the premises - previous warnings given,23085,Not appoint food safety supervisor for premises - Corporation,24/08/2022,2022,8,"SHOP 5060, 159-175 CHURCH STREET  PARRAMATTA 2150",2150,660,City of Parramatta
3206053869,CAMDEN RSL RESTAURANT,Camden Council,12/06/2023,Fail to maintain the food premises to the required standard of cleanliness,11339,Fail to comply with Food Standards Code - Corporation,2/05/2023,2023,5,962 CAWDOR ROAD  CAMDEN 2570,2570,880,Camden
3206053878,CAMDEN RSL RESTAURANT,Camden Council,12/06/2023,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warnings given",11339,Fail to comply with Food Standards Code - Corporation,2/05/2023,2023,5,962 CAWDOR ROAD  CAMDEN 2570,2570,880,Camden
3206053887,CAMDEN RSL RESTAURANT,Camden Council,12/06/2023,Fail to take all practicable measures to eradicate and prevent the harbourage of pests - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,2/05/2023,2023,5,962 CAWDOR ROAD  CAMDEN 2570,2570,880,Camden
7681091624,SON TRANG,Canterbury Bankstown Council,28/06/2022,Fail to display potentially hazardous food under temperature control - previous warnings given,11338,Fail to comply with Food Standards Code - Individual,19/05/2022,2022,5,304 CHAPEL ROAD  BANKSTOWN 2200,2200,440,Canterbury-Bankstown
7681918375,CAVS KEBABS,Canterbury Bankstown Council,5/12/2022,Fail to take all practicable measures to eradicate and prevent the harbourage of pests,11338,Fail to comply with Food Standards Code - Individual,26/10/2022,2022,10,5 REVESBY PLACE  REVESBY 2212,2212,440,Canterbury-Bankstown
7681918384,BLUE OCEAN RESTAURANT,Canterbury Bankstown Council,5/12/2022,Fail to take all practicable measures to eradicate and prevent the harbourage of pests,11339,Fail to comply with Food Standards Code - Corporation,26/10/2022,2022,10,17-19 REVESBY PLACE  REVESBY 2212,2212,880,Canterbury-Bankstown
7681918393,BLUE OCEAN RESTAURANT,Canterbury Bankstown Council,5/12/2022,Fail to store food in such a way that it is protected from the likelihood of contamination - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,26/10/2022,2022,10,17-19 REVESBY PLACE  REVESBY 2212,2212,880,Canterbury-Bankstown
3145246491,MCDONALD'S NORTH PARRAMATTA,City of Parramatta Council,20/12/2022,Fail to take all practicable measures to eradicate and prevent the harbourage of pests,11339,Fail to comply with Food Standards Code - Corporation,10/11/2022,2022,11,375 CHURCH STREET  NORTH PARRAMATTA 2151,2151,880,City of Parramatta
7682030099,GOLDEN TERRITORY SEAFOOD RESTAURANT,Canterbury Bankstown Council,9/01/2023,Fail to ensure food contact surfaces of equipment is in a clean and sanitary condition - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,30/11/2022,2022,11,202 BEAMISH STREET  CAMPSIE 2194,2194,880,Canterbury-Bankstown
7682030108,GOLDEN TERRITORY SEAFOOD RESTAURANT,Canterbury Bankstown Council,9/01/2023,Fail to maintain easily accessible hand washing facilities on the food premises - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,30/11/2022,2022,11,202 BEAMISH STREET  CAMPSIE 2194,2194,880,Canterbury-Bankstown
7682030117,GOLDEN TERRITORY SEAFOOD RESTAURANT,Canterbury Bankstown Council,9/01/2023,Fail to maintain at or near each hand washing facility a supply of - single use towels - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,30/11/2022,2022,11,202 BEAMISH STREET  CAMPSIE 2194,2194,880,Canterbury-Bankstown
7682030126,GOLDEN TERRITORY SEAFOOD RESTAURANT,Canterbury Bankstown Council,9/01/2023,"Fail to maintain premises, fixtures, fittings, and equipment in a good state of repair and working order having regard to their use - previous warnings given",11339,Fail to comply with Food Standards Code - Corporation,30/11/2022,2022,11,202 BEAMISH STREET  CAMPSIE 2194,2194,880,Canterbury-Bankstown
7682030135,GOLDEN TERRITORY SEAFOOD RESTAURANT,Canterbury Bankstown Council,9/01/2023,Fail to store food in such a way that it is protected from the likelihood of contamination - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,30/11/2022,2022,11,202 BEAMISH STREET  CAMPSIE 2194,2194,880,Canterbury-Bankstown
7682030144,GOLDEN TERRITORY SEAFOOD RESTAURANT,Canterbury Bankstown Council,9/01/2023,Fail to maintain the food premises to the required standard of cleanliness - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,30/11/2022,2022,11,202 BEAMISH STREET  CAMPSIE 2194,2194,880,Canterbury-Bankstown
3193101524,IPPUDO CHATSWOOD,Willoughby City Council,2/09/2022,"Fail to maintain premises, fixtures, fittings, and equipment in a good state of repair and working order having regard to their use",11339,Fail to comply with Food Standards Code - Corporation,25/07/2022,2022,7,"77A, 436 VICTORIA AVENUE  CHATSWOOD 2067",2067,880,Willoughby
3249440132,PANE E VINO TRATTORIA,Burwood Council,15/08/2022,Fail to store food in such a way that it is protected from the likelihood of contamination,11339,Fail to comply with Food Standards Code - Corporation,8/07/2022,2022,7,21 THE STRAND  CROYDON 2132,2132,880,Burwood
3249440141,PANE E VINO TRATTORIA,Burwood Council,15/08/2022,Fail to maintain the food premises to the required standard of cleanliness,11339,Fail to comply with Food Standards Code - Corporation,8/07/2022,2022,7,21 THE STRAND  CROYDON 2133,2133,880,Burwood
3249440150,PANE E VINO TRATTORIA,Burwood Council,15/08/2022,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness",11339,Fail to comply with Food Standards Code - Corporation,8/07/2022,2022,7,21 THE STRAND  CROYDON 2133,2133,880,Burwood
3249440160,PANE E VINO TRATTORIA,Burwood Council,15/08/2022,"Fail to maintain premises, fixtures, fittings, and equipment in a good state of repair and working order having regard to their use - previous warnings given",11339,Fail to comply with Food Standards Code - Corporation,8/07/2022,2022,7,21 THE STRAND  CROYDON 2133,2133,880,Burwood
3050060613,THE SHACK ORGANIC WHOLEFOOD MARKET & CAFE,Penrith City Council,26/08/2022,Fail to take all practicable measures to eradicate and prevent the harbourage of pests,11339,Fail to comply with Food Standards Code - Corporation,19/07/2022,2022,7,12 THE CRESCENT  PENRITH 2750,2750,880,Penrith
3050060622,THE SHACK ORGANIC WHOLEFOOD MARKET & CAFE,Penrith City Council,26/08/2022,Fail to store food in such a way that it is protected from the likelihood of contamination,11339,Fail to comply with Food Standards Code - Corporation,19/07/2022,2022,7,12 THE CRESCENT  PENRITH 2750,2750,880,Penrith
7681575725,OGALO HORNSBY,Hornsby Shire Council,16/02/2023,Fail to maintain the food premises to the required standard of cleanliness - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,9/01/2023,2023,1,3102/236 PACIFIC HIGHWAY  HORNSBY 2077,2077,880,Hornsby
7682202743,JASMINE LEBANESE RESTAURANT,Canterbury Bankstown Council,13/04/2023,Fail to maintain the food premises to the required standard of cleanliness,11339,Fail to comply with Food Standards Code - Corporation,6/03/2023,2023,3,30B HALDON STREET  LAKEMBA 2195,2195,880,Canterbury-Bankstown
7682202752,JASMINE LEBANESE RESTAURANT,Canterbury Bankstown Council,13/04/2023,Fail to store potentially hazardous food under temperature control,11339,Fail to comply with Food Standards Code - Corporation,6/03/2023,2023,3,30B HALDON STREET  LAKEMBA 2195,2195,880,Canterbury-Bankstown
3193101560,ROOSTER AND GRILL,Willoughby City Council,16/09/2022,Fail to store food in such a way that it is protected from the likelihood of contamination,11339,Fail to comply with Food Standards Code - Corporation,10/08/2022,2022,8,78 HAMPDEN ROAD  ARTARMON 2064,2064,880,Willoughby
3193101570,ROOSTER AND GRILL,Willoughby City Council,16/09/2022,"Fail to, when processing food, take all necessary steps to prevent the likelihood of food being contaminated",11339,Fail to comply with Food Standards Code - Corporation,10/08/2022,2022,8,78 HAMPDEN ROAD  ARTARMON 2064,2064,880,Willoughby
3193101598,ROOSTER AND GRILL,Willoughby City Council,16/09/2022,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness",11339,Fail to comply with Food Standards Code - Corporation,10/08/2022,2022,8,78 HAMPDEN ROAD  ARTARMON 2064,2064,880,Willoughby
3193101607,ROOSTER AND GRILL,Willoughby City Council,16/09/2022,Fail to maintain the food premises to the required standard of cleanliness,11339,Fail to comply with Food Standards Code - Corporation,10/08/2022,2022,8,78 HAMPDEN ROAD  ARTARMON 2064,2064,880,Willoughby
7681575606,PEPPERCORN KITCHEN MALATANG,Hornsby Shire Council,10/01/2023,Fail to not permit live animals in areas in which food is handled,11339,Fail to comply with Food Standards Code - Corporation,4/12/2022,2022,12,"SOP 3039, LEVEL 3, 236 PACIFIC HIGHWAY  HORNSBY 2077",2077,880,Hornsby
3050060815,SP & OYSTER,Penrith City Council,11/04/2023,Fail to ensure food contact surfaces of equipment is in a clean and sanitary condition - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,5/03/2023,2023,3,SHOP 33/4 ENDEAVOUR AVENUE  ST CLAIR 2759,2759,880,Penrith
3050060842,PIZZA HUT CAMBRIDGE,Penrith City Council,26/04/2023,Fail to maintain the food premises to the required standard of cleanliness - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,20/03/2023,2023,3,2 BOOMERANG PLACE  CAMBRIDGE GARDENS 2747,2747,880,Penrith
3161228391,ZAMZAM VILLAGE GROCER,NSW Food Authority,23/06/2022,Sale of food found to contain illegal preservative (sulphur dioxide) - beef mince,11341,Sell food that fails to comply with the Food Standards Code - Corporation,18/05/2022,2022,5,6-10 HARROW ROAD  AUBURN 2144,2144,880,Cumberland
3161228400,ZAMZAM VILLAGE GROCER,NSW Food Authority,23/06/2022,Sale of food found to contain illegal preservative (sulphur dioxide) - lamb mince,11341,Sell food that fails to comply with the Food Standards Code - Corporation,18/05/2022,2022,5,6-10 HARROW ROAD  AUBURN 2144,2144,880,Cumberland
3240101536,MUTHU CURRY,Cumberland City Council,29/09/2022,Fail to ensure that persons undertaking or supervising food handling operations have skills and knowledge in food safety and food hygiene matters - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,24/08/2022,2022,8,7-8 PORTICO PARADE  TOONGABBIE 2146,2146,880,Cumberland
3240101545,MUTHU CURRY,Cumberland City Council,29/09/2022,Fail to store food in such a way that it is protected from the likelihood of contamination - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,24/08/2022,2022,8,7-8 PORTICO PARADE  TOONGABBIE 2146,2146,880,Cumberland
3240101554,MUTHU CURRY,Cumberland City Council,29/09/2022,Fail to maintain the food premises to the required standard of cleanliness - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,24/08/2022,2022,8,7-8 PORTICO PARADE  TOONGABBIE 2146,2146,880,Cumberland
3240101563,MUTHU CURRY,Cumberland City Council,29/09/2022,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warnings given",11339,Fail to comply with Food Standards Code - Corporation,24/08/2022,2022,8,7-8 PORTICO PARADE  TOONGABBIE 2146,2146,880,Cumberland
3244612196,PASARGAD RESTAURANT,Willoughby City Council,3/05/2023,Fail to maintain the food premises to the required standard of cleanliness,11339,Fail to comply with Food Standards Code - Corporation,28/03/2023,2023,3,325 PENSHURST STREET  WILLOUGHBY 2068,2068,880,Willoughby
3244612205,PASARGAD RESTAURANT,Willoughby City Council,3/05/2023,Fail to ensure food contact surfaces of equipment is in a clean and sanitary condition,11339,Fail to comply with Food Standards Code - Corporation,28/03/2023,2023,3,325 PENSHURST STREET  WILLOUGHBY 2068,2068,880,Willoughby
3244612214,PASARGAD RESTAURANT,Willoughby City Council,3/05/2023,Fail to maintain at or near each hand washing facility a supply of - single use towels,11339,Fail to comply with Food Standards Code - Corporation,28/03/2023,2023,3,325 PENSHURST STREET  WILLOUGHBY 2068,2068,880,Willoughby
3244612223,PASARGAD RESTAURANT,Willoughby City Council,3/05/2023,Fail to store food in such a way that it is protected from the likelihood of contamination,11339,Fail to comply with Food Standards Code - Corporation,28/03/2023,2023,3,325 PENSHURST STREET  WILLOUGHBY 2068,2068,880,Willoughby
3244117077,OFF THE RAIL,Wollondilly Shire Council,24/05/2022,Fail to maintain the food premises to the required standard of cleanliness - previous warnings given,11338,Fail to comply with Food Standards Code - Individual,19/04/2022,2022,4,17 OAKS STREET  THIRLMERE 2572,2572,440,Wollondilly
3154200583,KAI DUMPLING,City of Newcastle,9/08/2022,"Fail to ensure hand washing facilities are only used for the washing of hands, arms and face",11339,Fail to comply with Food Standards Code - Corporation,5/07/2022,2022,7,"SHOP 9, 136 PARRY STREET  NEWCASTLE WEST 2302",2302,880,Newcastle
3154200592,KAI DUMPLING,City of Newcastle,9/08/2022,Fail to maintain the food premises to the required standard of cleanliness,11339,Fail to comply with Food Standards Code - Corporation,5/07/2022,2022,7,"SHOP 9, 136 PARRY STREET  NEWCASTLE WEST 2302",2302,880,Newcastle
3031086246,RAW AND WILD MARKET AND CAFE,Wingecarribee Shire Council,26/08/2022,Fail to maintain at or near each hand washing facility a supply of - soap,11339,Fail to comply with Food Standards Code - Corporation,22/07/2022,2022,7,250A BONG BONG STREET  BOWRAL 2576,2576,880,Wingecarribee
3244117800,OFF THE RAIL,Wollondilly Shire Council,1/11/2022,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warnings given",11338,Fail to comply with Food Standards Code - Individual,27/09/2022,2022,9,17 OAKS STREET  THIRLMERE 2572,2572,440,Wollondilly
3226065911,LUMIZA PIZZA CAFE,Waverley Council,3/01/2023,Fail to store food in such a way that it is protected from the likelihood of contamination,11339,Fail to comply with Food Standards Code - Corporation,29/11/2022,2022,11,"5, 26-30 SPRING STREET  BONDI JUNCTION 2022",2022,880,Waverley
7682118300,ELEMENTS ESPRESSO BAR,Canterbury Bankstown Council,12/03/2023,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warnings given ",11339,Fail to comply with Food Standards Code - Corporation,5/02/2023,2023,2,308 BURWOOD ROAD  BELMORE 2192,2192,880,Canterbury-Bankstown
7682118319,ELEMENTS ESPRESSO BAR,Canterbury Bankstown Council,12/03/2023,Fail to store potentially hazardous food under temperature control - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,5/02/2023,2023,2,308 BURWOOD ROAD  BELMORE 2192,2192,880,Canterbury-Bankstown
3120319245,RIVERSTONE HOT BREAD,Blacktown City Council,19/03/2023,Fail to take all practicable measures to eradicate and prevent the harbourage of pests,11339,Fail to comply with Food Standards Code - Corporation,12/02/2023,2023,2,18 GARFIELD ROAD EAST  RIVERSTONE 2765,2765,880,Blacktown
3225724554,KARIBU TRADING,NSW Food Authority,19/03/2023,Fail to maintain the food premises to the required standard of cleanliness - previous warning given,11339,Fail to comply with Food Standards Code - Corporation,12/02/2023,2023,2,"UNIT 4, 38-40 TATTERSALL ROAD  KINGS PARK 2148",2148,880,Blacktown
3225724563,KARIBU TRADING,NSW Food Authority,19/03/2023,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness",11339,Fail to comply with Food Standards Code - Corporation,12/02/2023,2023,2,"UNIT 4, 38-40 TATTERSALL ROAD  KINGS PARK 2148",2148,880,Blacktown
3218576177,BILLIS CAFE,North Sydney Council,17/04/2023,Fail to maintain the food premises to the required standard of cleanliness,11339,Fail to comply with Food Standards Code - Corporation,13/03/2023,2023,3,133-135 BLUES POINT ROAD  NORTH SYDNEY 2060,2060,880,North Sydney
3242780128,MIKEL COFFEE COMPANY,City of Canada Bay Council,2/05/2022,Fail to display potentially hazardous food under temperature control,11339,Fail to comply with Food Standards Code - Corporation,29/03/2022,2022,3,"SHOP 1, 118 GREAT NORTH ROAD  FIVE DOCK 2046",2046,880,City of Canada Bay
3242780137,MIKEL COFFEE COMPANY,City of Canada Bay Council,2/05/2022,Fail to maintain at or near each hand washing facility a supply of - soap,11339,Fail to comply with Food Standards Code - Corporation,29/03/2022,2022,3,"SHOP 1, 118 GREAT NORTH ROAD  FIVE DOCK 2046",2046,880,City of Canada Bay
3242780146,MIKEL COFFEE COMPANY,City of Canada Bay Council,2/05/2022,Fail to maintain at or near each hand washing facility a supply of - single use towels,11339,Fail to comply with Food Standards Code - Corporation,29/03/2022,2022,3,"SHOP 1, 118 GREAT NORTH ROAD  FIVE DOCK 2046",2046,880,City of Canada Bay
3236843491,NGAN CAFE,Canterbury Bankstown Council,24/05/2022,Sale of food labelled in contravention to Food Standards Code - previous warnings given,11338,Fail to comply with Food Standards Code - Individual,20/04/2022,2022,4,"SHOP 1, 300 CHAPEL ROAD  BANKSTOWN 2200",2200,440,Canterbury-Bankstown
3181150098,NOODLE PARADISE,Blue Mountains City Council,1/06/2022,Fail to maintain the food premises to the required standard of cleanliness,11339,Fail to comply with Food Standards Code - Corporation,28/04/2022,2022,4,111-115 MACQUARIE ROAD  SPRINGWOOD 2777,2777,880,Blue Mountains
3240101664,GUILDFORD HOT BREAD,Cumberland City Council,31/10/2022,Fail to ensure food contact surfaces of equipment is in a clean and sanitary condition - previous warnings given,11338,Fail to comply with Food Standards Code - Individual,27/09/2022,2022,9,335 GUILDFORD ROAD  GUILDFORD 2161,2161,440,Cumberland
3240101673,GUILDFORD HOT BREAD,Cumberland City Council,31/10/2022,Fail to cool cooked potentially hazardous food in accordance with the Food Standards Code - previous warnings given,11338,Fail to comply with Food Standards Code - Individual,27/09/2022,2022,9,335 GUILDFORD ROAD  GUILDFORD 2161,2161,440,Cumberland
3240101682,GUILDFORD HOT BREAD,Cumberland City Council,31/10/2022,Fail to take all practicable measures to eradicate and prevent the harbourage of pests - previous warnings given,11338,Fail to comply with Food Standards Code - Individual,27/09/2022,2022,9,335 GUILDFORD ROAD  GUILDFORD 2161,2161,440,Cumberland
3240101691,GUILDFORD HOT BREAD,Cumberland City Council,31/10/2022,Fail to display potentially hazardous food under temperature control - previous warnings given,11338,Fail to comply with Food Standards Code - Individual,27/09/2022,2022,9,335 GUILDFORD ROAD  GUILDFORD 2161,2161,440,Cumberland
3244117810,OFF THE RAIL,Wollondilly Shire Council,1/11/2022,Fail to take all practicable measures to eradicate and prevent the harbourage of pests - previous warnings given,11338,Fail to comply with Food Standards Code - Individual,28/09/2022,2022,9,17 OAKS STREET  THIRLMERE 2572,2572,440,Wollondilly
3050060696,TWIST POTATO SYDNEY (FOOD STALL),Penrith City Council,21/12/2022,Fail to store potentially hazardous food under temperature control - previous warning given,11338,Fail to comply with Food Standards Code - Individual,17/11/2022,2022,11,HIGH STREET  PENRITH 2760,2760,440,Penrith
7682118429,THE DHANSIRI RESTORA,Canterbury Bankstown Council,13/03/2023,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warnings given",11339,Fail to comply with Food Standards Code - Corporation,7/02/2023,2023,2,51 RAILWAY PARADE  LAKEMBA 2195,2195,880,Canterbury-Bankstown
7682118438,THE DHANSIRI RESTORA,Canterbury Bankstown Council,13/03/2023,Fail to store food in such a way that it is protected from the likelihood of contamination - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,7/02/2023,2023,2,51 RAILWAY PARADE  LAKEMBA 2195,2195,880,Canterbury-Bankstown
7682118447,THE DHANSIRI RESTORIA,Canterbury Bankstown Council,13/03/2023,Fail to take all practicable measures to eradicate and prevent the harbourage of pests - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,7/02/2023,2023,2,51 RAILWAY PARADE  LAKEMBA 2195,2195,880,Canterbury-Bankstown
3161228795,BEEF'D UP BUTCHERS,NSW Food Authority,4/04/2023,Sale of food found to contain illegal preservative (sulphur dioxide) - kibbeh,11341,Sell food that fails to comply with the Food Standards Code - Corporation,1/03/2023,2023,3,15 DURHAM STREET  CARLTON 2218,2218,880,Bayside
3161228804,BEEF'D UP BUTCHERS,NSW Food Authority,4/04/2023,Sale of food found to contain illegal preservative (sulphur dioxide) - fine mince,11341,Sell food that fails to comply with the Food Standards Code - Corporation,1/03/2023,2023,3,15 DURHAM STREET  CARLTON 2218,2218,880,Bayside
3161228813,BEEF'D UP BUTCHERS,NSW Food Authority,4/04/2023,Sale of food found to contain illegal preservative (sulphur dioxide) - kafta,11341,Sell food that fails to comply with the Food Standards Code - Corporation,1/03/2023,2023,3,15 DURHAM STREET  CARLTON 2218,2218,880,Bayside
3148723041,RASHAY'S CAMPBELLTOWN,Campbelltown City Council,28/11/2022,Fail to maintain the food premises to the required standard of cleanliness,11339,Fail to comply with Food Standards Code - Corporation,26/10/2022,2022,10,39 QUEEN STREET  CAMPBELLTOWN 2560,2560,880,Campbelltown
3148723050,RASHAY'S CAMPBELLTOWN,Campbelltown City Council,28/11/2022,Fail to store potentially hazardous food under temperature control,11339,Fail to comply with Food Standards Code - Corporation,26/10/2022,2022,10,39 QUEEN STREET  CAMPBELLTOWN 2560,2560,880,Campbelltown
3172774340,RAJ INDIAN STREET FOOD,Central Coast Council,13/02/2023,Fail to maintain the food premises to the required standard of cleanliness,11339,Fail to comply with Food Standards Code - Corporation,11/01/2023,2023,1,537 PACIFIC HIGHWAY  WADALBA 2259,2259,880,Central Coast
3219752040,PHO SAIGON CAB,Fairfield City Council,20/02/2023,Fail to store potentially hazardous food under temperature control,11339,Fail to comply with Food Standards Code - Corporation,18/01/2023,2023,1,"SHOP 2, 70 JOHN STREET  CABRAMATTA 2166",2166,880,Fairfield
3219752059,PHO SAIGON CAB,Fairfield City Council,20/02/2023,Fail to maintain easily accessible hand washing facilities on the food premises,11339,Fail to comply with Food Standards Code - Corporation,18/01/2023,2023,1,"SHOP 2, 70 JOHN STREET  CABRAMATTA 2166",2166,880,Fairfield
3161228721,ZAMZAM MARKET,NSW Food Authority,2/04/2023,Sale of food found to contain illegal preservative (sulphur dioxide) - beef mince,11341,Sell food that fails to comply with the Food Standards Code - Corporation,28/02/2023,2023,2,19 HALL STREET  AUBURN 2144,2144,880,Cumberland
3161228730,ZAMZAM MARKET,NSW Food Authority,2/04/2023,Sale of food found to contain illegal preservative (sulphur dioxide) - lamb mince,11341,Sell food that fails to comply with the Food Standards Code - Corporation,28/02/2023,2023,2,19 HALL STREET  AUBURN 2144,2144,880,Cumberland
3148723088,PIZZA HUT,Campbelltown City Council,28/11/2022,Fail to maintain at or near each hand washing facility a supply of - single use towels - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,27/10/2022,2022,10,174 QUEEN STREET  CAMPBELLTOWN 2560,2560,880,Campbelltown
3148723097,PIZZA HUT,Campbelltown City Council,28/11/2022,Fail to maintain the food premises to the required standard of cleanliness - previous warning given,11339,Fail to comply with Food Standards Code - Corporation,27/10/2022,2022,10,174 QUEEN STREET  CAMPBELLTOWN 2560,2560,880,Campbelltown
3148723106,PIZZA HUT,Campbelltown City Council,28/11/2022,"Fail to ensure fixtures, fittings and equipment is adequate for the production of safe and suitable food - previous warnings given",11339,Fail to comply with Food Standards Code - Corporation,27/10/2022,2022,10,174 QUEEN STREET  CAMPBELLTOWN 2560,2560,880,Campbelltown
3120318190,HILLS CAKE AND COFFEE,Blacktown City Council,18/07/2022,Sale of food not of the nature or substance demanded by the purchaser,11330,Supply food not of nature required by purchaser - Individual,17/06/2022,2022,6,4/4 MERRIVILLE ROAD  KELLYVILLE RIDGE 2155,2155,770,Blacktown
3120318219,HILLS CAKE AND COFFEE,Blacktown City Council,18/07/2022,Fail to store food in such a way that it is protected from the likelihood of contamination,11338,Fail to comply with Food Standards Code - Individual,17/06/2022,2022,6,4/14 MERRIVILLE ROAD  KELLYVILLE RIDGE 2155,2155,440,Blacktown
3120844807,ZION MART STRATHFIELD,Strathfield Municipal Council,8/12/2022,Fail to display potentially hazardous food under temperature control - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,7/11/2022,2022,11,20-34 ALBERT ROAD  STRATHFIELD 2135,2135,880,Strathfield
7680978324,JENNYS ASIAN KITCHEN,Canterbury Bankstown Council,9/06/2022,Fail to store food in such a way that it is protected from the likelihood of contamination - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,10/05/2022,2022,5,"SHOP 1, 11-13 CHESTER HILL ROAD  CHESTER HILL 2162",2162,880,Canterbury-Bankstown
3193101515,BACK AND FORTH,Willoughby City Council,2/09/2022,Fail to ensure handwashing facilities are connected to a sewage or waste disposal system,11339,Fail to comply with Food Standards Code - Corporation,3/08/2022,2022,8,"SHOP 20-22, 100 EDINGURGH ROAD  CASTLECRAG 2068",2068,880,Willoughby
7680978508,THE CAKE MINE,Canterbury Bankstown Council,21/06/2022,Fail to maintain at or near each hand washing facility a supply of - soap - previous warnings given,11338,Fail to comply with Food Standards Code - Individual,23/05/2022,2022,5,180 TOWER STREET  PANANIA 2213,2213,440,Canterbury-Bankstown
7681091514,THE CAKE MINE,Canterbury Bankstown Council,21/06/2022,Fail to display potentially hazardous food under temperature control - previous warnings given,11338,Fail to comply with Food Standards Code - Individual,23/05/2022,2022,5,180 TOWER STREET  PANANIA 2213,2213,440,Canterbury-Bankstown
3050060714,SEHAJ INDIAN FOOD AND BAR,Penrith City Council,5/01/2023,Fail to store food in such a way that it is protected from the likelihood of contamination - previous warning given,11339,Fail to comply with Food Standards Code - Corporation,7/12/2022,2022,12,68 O'CONNELL STREET  CADDENS 2747,2747,880,Penrith
3050060723,SEHAJ INDIAN FOOD AND BAR,Penrith City Council,5/01/2023,Fail to maintain the food premises to the required standard of cleanliness - previous warning given,11339,Fail to comply with Food Standards Code - Corporation,7/12/2022,2022,12,68 O'CONNELL STREET  CADDENS 2747,2747,880,Penrith
3050060732,SEHAJ INDIAN FOOD AND BAR,Penrith City Council,5/01/2023,Fail to take all practicable measures to eradicate and prevent the harbourage of pests - previous warning given,11339,Fail to comply with Food Standards Code - Corporation,7/12/2022,2022,12,68 O'CONNELL STREET  CADDENS 2747,2747,880,Penrith
7681575597,"THE VERANDAH, BEECROFT BOWLING CLUB",Hornsby Shire Council,10/01/2023,Fail to take all practicable measures to process only safe and suitable food,11339,Fail to comply with Food Standards Code - Corporation,12/12/2022,2022,12,128-132 COPELAND ROAD  BEECROFT 2119,2119,880,Hornsby
3050060833,NOODLE PARADISE,Penrith City Council,26/04/2023,Fail to store potentially hazardous food under temperature control - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,28/03/2023,2023,3,"SHOP 9, 9-100 GLENMORE PARKWAY  GLENMORE PARK 2745",2745,880,Penrith
